"target_id","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"KIRREL",3,20.7766948416951,3.75823953114611e-46,4.9428022047417e-44
"KRT4",3,10.8945645422427,1.08516271553942e-45,1.41638397166883e-43
"PLK2",12,45.1185433843776,1.15868900237483e-45,1.50098141518165e-43
"LTBP2",4,13.343494554855,1.33817847902441e-45,1.72055798620235e-43
"COTL1",4,17.7420212416149,1.36663776427442e-45,1.74413348449511e-43
"TM4SF4",3,13.4145598074304,2.70412042205871e-45,3.42568314350364e-43
"EMP3",7,28.3268668558721,4.48191084813408e-45,5.63641182500015e-43
"C11orf86",1,4.77180646145571,1.10598241847504e-44,1.38079500637004e-42
"APBB1IP",2,5.76974787913267,3.42148006852665e-44,4.24091223745652e-42
"CNTNAP3B",8,37.4852345886976,6.28319527157477e-44,7.73236938099726e-42
"ADAM28",6,11.5906113523002,9.30460546165988e-44,1.13694359928325e-41
"ADAM12",3,9.37878119383969,9.57229031849178e-44,1.16141542181194e-41
"MEG3",13,39.4088732839993,3.45200908011833e-43,4.15906744345166e-41
"ALX4",1,4.42892626953146,3.71486017940031e-43,4.44467541881166e-41
"FMNL2",2,11.7998572157646,4.20160014866624e-43,4.99237027319797e-41
"LHX4",1,5.57815623348748,4.7067061291119e-43,5.55423560948417e-41
"FRMD6",7,24.2175047418335,5.83213917155714e-43,6.83550515556176e-41
"STEAP1",3,12.4485719316434,8.23589153585459e-43,9.58757941021883e-41
"ADAM19",1,6.24062214174783,4.23380821623892e-42,4.89558937970338e-40
"FMN2",2,7.20904547156911,7.34607658923586e-42,8.43770357039631e-40
"ITGAV",4,22.2736912841075,8.30068556999899e-42,9.47102726394124e-40
"RALB",4,18.3536797106984,1.64038914036966e-41,1.85935950654137e-39
"SETBP1",2,6.81312718571939,1.72025774593225e-41,1.93714514409586e-39
"ARRB1",2,10.7294749172459,3.97870983730431e-41,4.45124621992961e-39
"LINC00707",1,6.15080165457572,6.64269152092353e-41,7.38367304606396e-39
"MYRF",8,31.2496973326888,7.79769065850888e-41,8.61194950996471e-39
"HPCAL1",5,22.6205841098216,9.26775304687659e-41,1.01703259391488e-38
"PLAU",4,17.6237901481444,1.20784916970548e-40,1.31709071802884e-38
"SLC26A2",1,8.10982023342506,1.29472911085108e-40,1.40294892143731e-38
"MFSD12",8,35.867385127846,1.37202754654079e-40,1.47741641245945e-38
"GDF15",3,16.3979824098407,1.8140073320962e-40,1.94121318786866e-38
"PVRL1",3,11.4324651287625,2.21244112582341e-40,2.35297210844516e-38
"VIM",6,30.2853188424004,1.01579417532216e-39,1.07368821144941e-37
"CEBPB",1,6.11634727271133,2.54652380245576e-39,2.67524747515307e-37
"CD274",2,6.16656126858065,3.61845477576277e-39,3.77832468676465e-37
